Count,Gender,Region,Site,Population
3500,M,Ontario,Lung,11874400
1250,M,Ontario,Colorectal,11874400
0,M,Ontario,Breast,11874400
1600,M,Ontario,Prostate,11874400
540,M,Ontario,Pancreas,11874400
2400,F,Ontario,Lung,11874400
1050,F,Ontario,Colorectal,11874400
2100,F,Ontario,Breast,11874400
0,F,Ontario,Prostate,11874400
590,F,Ontario,Pancreas,11874400
240,M,Newfoundland,Lung,533800
60,M,Newfoundland,Colorectal,533800
0,M,Newfoundland,Breast,533800
80,M,Newfoundland,Prostate,533800
20,M,Newfoundland,Pancreas,533800
95,F,Newfoundland,Lung,533800
50,F,Newfoundland,Colorectal,533800
95,F,Newfoundland,Breast,533800
0,F,Newfoundland,Prostate,533800
25,F,Newfoundland,Pancreas,533800
3500,M,Quebec,Lung,7410500
1100,M,Quebec,Colorectal,7410500
0,M,Quebec,Breast,7410500
900,M,Quebec,Prostate,7410500
390,M,Quebec,Pancreas,7410500
2000,F,Quebec,Lung,7410500
1000,F,Quebec,Colorectal,7410500
1450,F,Quebec,Breast,7410500
0,F,Quebec,Prostate,7410500
410,F,Quebec,Pancreas,7410500
