ID,district.name,Y,E,AFF
1,Skye-Lochalsh,9,1.38,16
2,Banff-Buchan,39,8.661,16
3,Caithness,11,3.04,10
4,Berwickshire,9,2.53,24
5,Ross-Cromarty,15,4.26,10
6,Orkney,8,2.4,24
7,Moray,26,8.11,10
8,Shetland,7,2.3,7
9,Lochaber,6,1.98,7
10,Gorden,20,6.629,16
11,Western Isles,13,4.399,7
12,Sutherland,5,1.79,16
13,Nairn,3,1.08,10
14,Wigtown,8,3.31,24
15,NE Fife,17,7.841,7
16,Kincardine,9,4.55,16
17,Badenoch,2,1.07,10
18,Ettrick,7,4.179,7
19,Inverness,9,5.532,7
20,Roxburgh,7,4.439,10
21,Angus,16,10.458,7
22,Aberdeen,31,22.677,16
23,Argyll-Bute,11,8.772,10
24,Clydesdale,7,5.618,7
25,Kirkcaldy,19,15.472,1
26,Dunfermline,15,12.49,1
27,Nithsdale,7,6.04,7
28,East Lothian,10,8.961,7
29,Perth-Kinross,16,14.376,10
30,West Lothian,11,10.204,10
31,Cumnock-Doon,5,4.748,7
32,Stewartry,3,2.879,24
33,Midlothian,7,7.028,10
34,Stirling,8,8.529,7
35,Kyle-Carrick,11,12.318,7
36,Inverclyde,9,10.101,0
37,Cunninghame,11,12.673,10
38,Monklands,8,9.346,1
39,Dumbarton,6,7.203,16
40,Clydebank,4,5.27,0
41,Renfrew,10,18.762,1
42,Falkirk,8,15.779,16
43,Clackmannan,2,4.32,16
44,Motherwell,6,14.634,0
45,Edinburgh,19,50.667,1
46,Kilmarnock,3,8.197,7
47,East Kilbride,2,5.587,1
48,Hamilton,3,9.346,1
49,Glasgow,28,88.608,0
50,Dundee,6,19.608,1
51,Cumbernauld,1,3.436,1
52,Bearsden,1,3.623,0
53,Eastwood,1,5.747,1
54,Strathkelvin,1,7.042,1
55,Annandale,0,4.2,16
56,Tweeddale,0,1.8,10
