mortality,latitude,longitude,ocean
219,33,87,yes
160,34.5,112,no
170,35,92.5,no
182,37.5,119.5,yes
149,39,105.5,no
159,41.8,72.8,yes
200,39,75.5,yes
177,39,77,no
197,28,82,yes
214,33,83.5,yes
116,44.5,114,no
124,40,89.5,no
128,40.2,86.2,no
128,42.2,93.8,no
166,38.5,98.5,no
147,37.8,85,no
190,31.2,91.8,yes
117,45.2,69,yes
162,39,76.5,yes
143,42.2,71.8,yes
117,43.5,84.5,no
116,46,94.5,no
207,32.8,90,yes
131,38.5,92,no
109,47,110.5,no
122,41.5,99.5,no
191,39,117,no
129,43.8,71.5,yes
159,40.2,74.5,yes
141,35,106,no
152,43,75.5,yes
199,35.5,79.5,yes
115,47.5,100.5,no
131,40.2,82.8,no
182,35.5,97.2,no
136,44,120.5,yes
132,40.8,77.8,no
137,41.8,71.5,yes
178,33.8,81,yes
86,44.8,100,no
186,36,86.2,no
229,31.5,98,yes
142,39.5,111.5,no
153,44,72.5,yes
166,37.5,78.5,yes
117,47.5,121,yes
136,38.8,80.8,no
110,44.5,90.2,no
134,43,107.5,no
